house_id,price,area,AC,parking,prefarea
445,11500000,7000,Yes,Yes,Yes
446,13500000,8200,Yes,Yes,Yes
447,2750000,3000,No,No,No
448,6800000,4600,No,Yes,No
449,7800000,5300,Yes,Yes,Yes
450,3900000,2800,No,No,No
451,1800000,1200,No,No,No
452,2400000,1800,No,Yes,No
453,3200000,2400,Yes,No,No
454,4500000,3500,No,Yes,No
455,5200000,4100,Yes,Yes,Yes
456,6100000,4800,Yes,Yes,No
457,7200000,5000,Yes,Yes,Yes
458,8400000,5600,Yes,Yes,Yes
459,9500000,6200,Yes,Yes,Yes
460,11500000,7000,Yes,Yes,Yes
461,13500000,8200,Yes,Yes,Yes
462,2750000,3000,No,No,No
463,6800000,4600,No,Yes,No
464,7800000,5300,Yes,Yes,Yes
465,3900000,2800,No,No,No
466,1800000,1200,No,No,No
467,2400000,1800,No,Yes,No
468,3200000,2400,Yes,No,No
469,4500000,3500,No,Yes,No
470,5200000,4100,Yes,Yes,Yes
471,6100000,4800,Yes,Yes,No
472,7200000,5000,Yes,Yes,Yes
473,8400000,5600,Yes,Yes,Yes
474,9500000,6200,Yes,Yes,Yes
475,11500000,7000,Yes,Yes,Yes
476,13500000,8200,Yes,Yes,Yes
477,2750000,3000,No,No,No
478,6800000,4600,No,Yes,No
479,7800000,5300,Yes,Yes,Yes
480,3900000,2800,No,No,No
481,1800000,1200,No,No,No
482,2400000,1800,No,Yes,No
483,3200000,2400,Yes,No,No
484,4500000,3500,No,Yes,No
485,5200000,4100,Yes,Yes,Yes
486,6100000,4800,Yes,Yes,No
487,7200000,5000,Yes,Yes,Yes
488,8400000,5600,Yes,Yes,Yes
489,9500000,6200,Yes,Yes,Yes
490,11500000,7000,Yes,Yes,Yes
491,13500000,8200,Yes,Yes,Yes
492,2750000,3000,No,No,No
493,6800000,4600,No,Yes,No
494,7800000,5300,Yes,Yes,Yes
495,3900000,2800,No,No,No
496,1800000,1200,No,No,No
497,2400000,1800,No,Yes,No
498,3200000,2400,Yes,No,No
499,4500000,3500,No,Yes,No
500,5200000,4100,Yes,Yes,Yes
